Local Date of Joining,Designation,Status,Market Unit,SkillList,Location
19/01/2015,CONSULTANT,Billable,ANZ,"SOA,Webservices,LISA",Noida
30/03/2015,ASSOCIATE CONSULTANT,Billable,ANZ,"SOA,Webservices,LISA",Chennai
09/07/2007,MANAGER,Billable,ANZ,"SOA,Webservices,LISA",Bhubaneswar
30/05/2011,PORTFOLIO MANAGER,Billable,ANZ,"SOA,Webservices,LISA",Noida
20/02/2014,CONSULTANT,Billable,ANZ,"SOA,Webservices,LISA",Gurgaon
17/10/2013,CONSULTANT,Billable,ANZ,"SOA,Webservices,LISA",Bhubaneswar
16/02/2015,CONSULTANT,Billable,ANZ,"SOA,Webservices,LISA",Hyderabad
10/02/2018,MANAGER,Billable,ANZ,"Test Environment Management,Peoplesoft (ERP)",Gurgaon
19/03/2015,SENIOR CONSULTANT,Billable,ANZ,"Selenium,TOSCA",Hartford
11/07/2016,SENIOR CONSULTANT,Billable,ANZ,"Selenium,TOSCA",Bhubaneswar
25/04/2016,PORTFOLIO MANAGER,Billable,ANZ,"Selenium,TOSCA",Bhubaneswar
29/01/2018,SENIOR CONSULTANT,Billable,ANZ,"Selenium,TOSCA",Bhubaneswar
06/06/2016,CONSULTANT,Billable,ANZ,"Selenium,TOSCA",Noida
24/08/2010,SENIOR CONSULTANT,Billable,ANZ,"Selenium,TOSCA",Hyderabad
27/04/2015,CONSULTANT,Billable,ANZ,TOSCA,Noida
18/04/2016,SENIOR CONSULTANT,Billable,ANZ,Test Environment Management,Bhubaneswar
27/12/2012,CONSULTANT,Billable,ANZ,"Test Environment Management,Pega",Pune
16/02/2015,CONSULTANT,Billable,ANZ,Selenium,Hyderabad
18/08/2014,MANAGER,Billable,ANZ,"ETL Server/Warehouse,(T) Data and Semantic Modelling,(T) Relational Databases,Data Warehousing",Gurgaon
12/10/2015,MANAGER,Billable,ANZ,Testing Manual,Bangalore
01/01/2011,SENIOR CONSULTANT,Billable,ANZ,Peoplesoft Administration,Pune
20/08/2012,SENIOR DIRECTOR,Billable,ANZ,PeopleSoft Technical,Hyderabad
16/09/2013,ASSOCIATE CONSULTANT,Billable,ANZ,PeopleSoft Technical,Bhubaneswar
12/04/2010,CONSULTANT,Billable,ANZ,PeopleSoft Technical,Pune
25/02/2013,CONSULTANT,Billable,ANZ,PeopleSoft Technical,Pune
20/03/2014,CONSULTANT,Billable,ANZ,PeopleSoft Technical,Chennai
26/08/2015,MANAGER,Billable,ANZ,PeopleSoft Technical,Hartford
28/03/2011,CONSULTANT,Billable,ANZ,PeopleSoft Technical,Chennai
18/02/2013,ASSOCIATE CONSULTANT,Billable,ANZ,UI,Noida
25/03/2013,CONSULTANT,Billable,ANZ,UI,Pune
07/10/2016,MANAGER,Bench,ANZ,UI,Bhubaneswar
26/08/2013,ASSOCIATE CONSULTANT,Billable,ANZ,UI,Noida
12/12/2016,CONSULTANT,Billable,ANZ,Business Analytics,Pune
07/09/2015,ASSOCIATE CONSULTANT,Billable,ANZ,Web Development,Bangalore
09/08/2010,SENIOR CONSULTANT,Billable,ANZ,Web Development,Pune
21/09/2015,MANAGER,Billable,ANZ,Web Development,Gurgaon
26/07/2012,CONSULTANT,Billable,ANZ,Web Development,Pune
09/02/2015,SENIOR MANAGER,Billable,ANZ,Web Development,Bhubaneswar
14/05/2015,CONSULTANT,Billable,ANZ,Web Development,Pune
04/06/2012,CONSULTANT,Billable,ANZ,Test Automation,Bangalore
16/02/2011,PORTFOLIO MANAGER,Billable,ANZ,Test Automation,Chennai
25/06/2012,CONSULTANT,Billable,ANZ,Test Automation,Pune
30/09/2013,MANAGER,Billable,ANZ,Test Automation,Chennai
09/06/2014,SENIOR CONSULTANT,Billable,GP,Guidewire PolicyCenter,Bangalore
17/06/2013,CONSULTANT,Billable,BANK,Mainframe Development Environment,Bhubaneswar
11/08/2014,ASSOCIATE CONSULTANT,Billable,BANK,Mainframe Development Environment,Pune
27/11/2014,ASSOCIATE CONSULTANT,Billable,BANK,Mainframe Development Environment,Noida
15/07/2013,CONSULTANT,Billable,BANK,Mainframe Development Environment,Hartford
16/03/2015,CONSULTANT,Billable,BANK,Mainframe Development Environment,Chennai
16/04/2015,CONSULTANT,Billable,FS,Guidewire,Hartford
09/01/2014,ASSOCIATE CONSULTANT,Billable,FS,ETL,Bhubaneswar
19/08/2013,SENIOR CONSULTANT,Billable,FS,ETL,Bhubaneswar
12/06/2014,CONSULTANT,Billable,FS,Guidewire BillingCenter,Bangalore
10/09/2012,CONSULTANT,Billable,FS,Guidewire PolicyCenter,Hartford
08/09/2014,DIRECTOR,Billable,FS,Guidewire,Hyderabad
31/05/2016,CONSULTANT,Billable,FS,Guidewire,Hyderabad
14/11/2011,SENIOR MANAGER,Billable,FS,Guidewire,Pune
23/10/2017,CONSULTANT,Billable,FS,HP Exstream,Hyderabad
02/12/2013,CONSULTANT,Billable,FS,Pega,Pune
05/02/2015,CONSULTANT,Billable,FS,Pega,Gurgaon
04/04/2017,SENIOR CONSULTANT,Billable,FS,Open Span,Pune
01/07/2010,VICE PRESIDENT,Billable,FS,SAP TDMS,Gurgaon
15/01/2014,ASSOCIATE CONSULTANT,Billable,FS,Guidewire PolicyCenter,Noida
01/09/2015,ASSOCIATE CONSULTANT,Billable,FS,Guidewire,Bangalore
30/10/2017,SENIOR CONSULTANT,Billable,FS,Test Automation,Bangalore
11/02/2010,SENIOR MANAGER,Billable,FS,Test Automation,Chennai
17/08/2015,ASSOCIATE CONSULTANT,Billable,FS,Test Automation,Chennai
01/05/2015,SENIOR CONSULTANT,Billable,FS,Java,Pune
23/07/2012,SENIOR MANAGER,Billable,FS,Java,Chennai
28/11/2013,SENIOR CONSULTANT,Billable,FS,Java,Pune
19/01/2015,SENIOR CONSULTANT,Billable,FS,Java,Hartford
27/10/2014,SENIOR CONSULTANT,Billable,FS,Microsoft Dynamics CRM,Pune
07/08/2017,DIRECTOR,Billable,GP,SAP ISU CRM,Bhubaneswar
17/09/2012,MANAGER,Billable,APAC,Core Banking,Bhubaneswar
18/06/2015,CONSULTANT,Billable,APAC,Core Banking,Bhubaneswar
08/09/2014,CONSULTANT,Billable,APAC,Core Banking,Bhubaneswar
23/09/2013,DIRECTOR,Billable,BANK,"Automation - Chef, Puppet",Bhubaneswar
31/12/2016,MANAGER,Bench,BANK,"Automation - Chef, Puppet",Bhubaneswar
15/08/2012,MANAGER,Billable,BANK,"Automation - Chef, Puppet",Pune
03/08/2009,SENIOR CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Chennai
25/01/2016,CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Bangalore
22/11/2010,SENIOR DIRECTOR,Billable,BANK,"AWS - Build , Administration and integration",Bhubaneswar
15/08/2016,CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Pune
12/05/2011,CONSULTANT,Billable,BANK,Spring Batch,Bhubaneswar
01/11/2012,SENIOR CONSULTANT,Billable,BANK,Spring,Chennai
28/02/2013,CONSULTANT,Billable,BANK,Spring Batch,Bangalore
03/07/2017,ASSOCIATE CONSULTANT,Billable,BANK,Spring,Bangalore
24/03/2014,CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Pune
30/03/2015,ASSOCIATE CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Bangalore
28/09/2015,CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Hartford
26/07/2010,CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Bhubaneswar
17/02/2014,ASSOCIATE CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Pune
17/08/2015,ASSOCIATE CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Pune
13/11/2014,ASSOCIATE CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Bhubaneswar
09/04/2015,ASSOCIATE CONSULTANT,Billable,BANK,"Automation - Chef, Puppet",Pune
26/03/2013,SENIOR MANAGER,Billable,BANK,"Automation - Chef, Puppet",Bhubaneswar
18/07/2013,CONSULTANT,Billable,BANK,"iText,AWS - Build , Administration and integration",Bhubaneswar
13/01/2014,SENIOR CONSULTANT,Billable,BANK,"iText,AWS - Build , Administration and integration",Pune
17/03/2014,ASSOCIATE CONSULTANT,Billable,BANK,Test Automation,Pune
14/06/2016,MANAGER,Billable,BANK,Functional Testing,Bhubaneswar
19/01/2018,SENIOR CONSULTANT,Billable,BANK,(T) Testing Tools / Testing Automation / Performance Testing Tools,Gurgaon
01/01/2013,ASSOCIATE CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Noida
01/10/2012,DIRECTOR,Billable,BANK,"AWS - Build , Administration and integration",Gurgaon
11/08/2014,ASSOCIATE CONSULTANT,Billable,BANK,"AWS - Build , Administration and integration",Pune
28/07/2011,DIRECTOR,Billable,BANK,"AWS - Build , Administration and integration",Hyderabad
18/08/2014,ASSOCIATE CONSULTANT,Billable,INS,Functional Testing,Chennai
13/11/2014,MANAGER,Billable,INS,Functional Testing,Bhubaneswar
07/04/2014,PORTFOLIO MANAGER,Bench,INS,Functional Testing,Bhubaneswar
19/04/2016,SENIOR CONSULTANT,Billable,INS,"SQL,ETL",Hartford
05/08/2002,MANAGER,Bench,INS,Functional Testing,Hyderabad
11/08/2014,ASSOCIATE CONSULTANT,Billable,INS,Functional Testing,Pune
19/07/2010,DIRECTOR,Billable,INS,Functional Testing,Noida
08/01/2016,SENIOR CONSULTANT,Billable,INS,Performance Testing,Noida
30/06/2015,ASSOCIATE CONSULTANT,Billable,INS,Performance Testing,Hyderabad
29/12/2006,SENIOR CONSULTANT,Billable,INS,"C#,VB.NET",Gurgaon
15/11/2012,SENIOR CONSULTANT,Billable,INS,"JavaScript,Java Server Pages (JSP)",Pune
24/07/2012,MANAGER,Billable,INS,"JavaScript,Java Server Pages (JSP)",Chennai
29/12/2014,SENIOR CONSULTANT,Billable,INS,"JavaScript,Java Server Pages (JSP)",Gurgaon
07/11/2011,MANAGER,Billable,INS,"JavaScript,Java Server Pages (JSP)",Hartford
16/05/2013,ASSOCIATE CONSULTANT,Billable,INS,Salesforce (Technical),Hyderabad
25/07/2011,MANAGER,Billable,INS,Salesforce (Technical),Pune
22/02/2016,MANAGER,Billable,INS,Angular.js,Bhubaneswar
09/06/2011,SENIOR CONSULTANT,Billable,INS,Java,Gurgaon
19/08/2017,MANAGER,Billable,INS,"Angular.js,C# .NET",Gurgaon
06/05/2013,CONSULTANT,Billable,INS,J2EE,Gurgaon
29/11/2013,MANAGER,Billable,INS,J2EE,Bhubaneswar
30/03/2015,CONSULTANT,Billable,INS,J2EE,Pune
03/09/2015,SENIOR CONSULTANT,Billable,INS,Java,Noida
22/08/2013,MANAGER,Billable,INS,Mendix,Hyderabad
19/01/2015,ASSOCIATE CONSULTANT,Billable,INS,Mendix,Noida
20/02/2006,DIRECTOR,Bench,INS,Mendix,Gurgaon
08/07/2013,SENIOR CONSULTANT,Billable,INS,Mendix,Noida
03/05/2017,SENIOR CONSULTANT,Billable,INS,Mendix,Pune
30/01/2017,SENIOR CONSULTANT,Billable,APAC,PMO (Project),Gurgaon
18/01/2016,CONSULTANT,Billable,APAC,IBM Worklight,Hartford
28/05/2010,ASSOCIATE CONSULTANT,Billable,APAC,"VisionPlus CMS,VisionPlus FAS",Hartford
15/07/2013,CONSULTANT,Billable,BANK,SAS Enterprise Guide,Hartford
27/06/2008,SENIOR CONSULTANT,Billable,BANK,SAS Enterprise Guide,Bhubaneswar
23/04/2010,CONSULTANT,Billable,BANK,SAS Enterprise Guide,Chennai
09/01/2012,CONSULTANT,Billable,BANK,SAS Enterprise Guide,Gurgaon
21/10/2013,SENIOR CONSULTANT,Billable,BANK,"Vision Plus,Cards Issuing",Bangalore
06/01/2014,MANAGER,Billable,BANK,"Vision Plus,Cards Issuing",Gurgaon
30/05/2016,SENIOR CONSULTANT,Billable,BANK,"ETL,AWS Redshift,PYTHON",Hyderabad
05/09/2012,PORTFOLIO MANAGER,Billable,BANK,"ETL,AWS Redshift,PYTHON",Gurgaon
08/07/2013,MANAGER,Billable,BANK,"ETL,AWS Redshift,PYTHON",Chennai
09/07/2012,SENIOR CONSULTANT,Billable,BANK,"Agile,ETL,AWS Redshift,PYTHON",Pune
04/09/2014,CONSULTANT,Billable,BANK,"Agile,ETL,AWS Redshift,PYTHON",Hyderabad
18/01/2016,SENIOR CONSULTANT,Billable,BANK,"Agile,ETL,AWS Redshift,PYTHON",Bangalore
25/05/2017,SENIOR CONSULTANT,Billable,BANK,"PYTHON,Mainframe - Storage & Backup,AWS Redshift",Bangalore
14/07/2014,CONSULTANT,Billable,BANK,"PYTHON,Mainframe - Storage & Backup,AWS Redshift",Hartford
14/06/2010,SENIOR CONSULTANT,Billable,BANK,"ETL,AWS Redshift,PYTHON",Gurgaon
19/09/2013,SENIOR CONSULTANT,Billable,BANK,"ETL,AWS Redshift,PYTHON",Bhubaneswar
19/12/2013,SENIOR DIRECTOR,Billable,BANK,"ETL,AWS Redshift,PYTHON",Gurgaon
08/11/2010,VICE PRESIDENT,Billable,BANK,"ETL,AWS Redshift,PYTHON",Noida
03/05/2012,SENIOR CONSULTANT,Billable,BANK,"ETL,AWS Redshift,PYTHON",Hartford
25/04/2013,CONSULTANT,Billable,BANK,"ETL,AWS Redshift,PYTHON",Bhubaneswar
27/06/2005,MANAGER,Billable,BANK,"Agile,ETL,AWS Redshift,PYTHON",Bhubaneswar
31/08/2015,SENIOR CONSULTANT,Billable,BANK,"Agile,ETL,AWS Redshift,PYTHON",Pune
09/03/2015,SENIOR CONSULTANT,Billable,BANK,"Agile,ETL,AWS Redshift,PYTHON",Hartford
21/09/2015,MANAGER,Billable,BANK,Test Planning,Bhubaneswar
29/06/2015,SENIOR CONSULTANT,Billable,BANK,Java (Multi Skilled),Noida
13/04/2015,CONSULTANT,Billable,BANK,Java (Multi Skilled),Bhubaneswar
30/11/2015,SENIOR CONSULTANT,Billable,BANK,Java (Multi Skilled),Hartford
24/03/2014,SENIOR CONSULTANT,Billable,BANK,Java (Multi Skilled),Chennai
12/04/2012,CONSULTANT,Billable,BANK,Java (Multi Skilled),Pune
01/08/2015,SENIOR MANAGER,Bench,BANK,Java (Multi Skilled),Bangalore
26/08/2010,CONSULTANT,Billable,BANK,SIT,Bhubaneswar
16/05/2013,ASSOCIATE CONSULTANT,Billable,BANK,Java (Multi Skilled),Pune
01/08/2017,SENIOR CONSULTANT,Billable,BANK,.Net with MVC,Chennai
22/12/2014,ASSOCIATE CONSULTANT,Billable,BANK,.Net with MVC,Hartford
30/03/2015,ASSOCIATE CONSULTANT,Billable,BANK,Java (Multi Skilled),Noida
27/04/2015,SENIOR CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Gurgaon
13/08/2015,ASSOCIATE CONSULTANT,Billable,BANK,(T) Data and Semantic Modelling,Bhubaneswar
11/01/2010,SENIOR MANAGER,Billable,BANK,(T) Data and Semantic Modelling,Chennai
07/01/2003,SENIOR MANAGER,Bench,BANK,"ETL Testing,AWS - Build , Administration and integration,Banking Platform,SAS Programming - Base & Advance",Bhubaneswar
01/05/2010,SENIOR CONSULTANT,Billable,BANK,Ab Initio,Pune
09/01/2012,CONSULTANT,Billable,BANK,Ab Initio,Chennai
09/10/2014,CONSULTANT,Billable,BANK,Ab Initio,Pune
16/12/2017,MANAGER,Billable,BANK,Ab Initio,Bhubaneswar
16/02/2015,CONSULTANT,Billable,BANK,Ab Initio,Gurgaon
17/04/2014,SENIOR CONSULTANT,Billable,BANK,Ab Initio,Hyderabad
09/05/2016,CONSULTANT,Billable,BANK,Ab Initio,Pune
25/03/2013,SENIOR CONSULTANT,Billable,BANK,Ab Initio,Noida
29/01/2015,ASSOCIATE CONSULTANT,Billable,BANK,PYTHON,Hyderabad
04/12/2014,ASSOCIATE CONSULTANT,Billable,BANK,PYTHON,Bhubaneswar
15/08/2016,CONSULTANT,Billable,BANK,Java (Multi Skilled),Bhubaneswar
18/05/2010,SENIOR MANAGER,Bench,BANK,Java (Multi Skilled),Noida
01/02/2008,SENIOR MANAGER,Billable,BANK,Java (Multi Skilled),Hartford
17/10/2016,SENIOR CONSULTANT,Billable,BANK,Java (Multi Skilled),Hyderabad
01/10/2012,SENIOR CONSULTANT,Billable,BANK,Java (Multi Skilled),Gurgaon
15/06/2015,MANAGER,Billable,BANK,Java (Multi Skilled),Gurgaon
13/09/2010,SENIOR CONSULTANT,Billable,BANK,Java (Multi Skilled),Hyderabad
30/09/2013,CONSULTANT,Billable,BANK,Java (Multi Skilled),Bhubaneswar
19/02/2018,CONSULTANT,Billable,BANK,Java (Multi Skilled),Gurgaon
08/01/2015,ASSOCIATE CONSULTANT,Billable,BANK,Java (Multi Skilled),Pune
28/04/2006,MANAGER,Billable,BANK,Java (Multi Skilled),Chennai
23/10/2017,CONSULTANT,Billable,BANK,Java (Multi Skilled),Pune
18/08/2011,SENIOR CONSULTANT,Billable,BANK,Service Now,Noida
14/05/2012,SENIOR MANAGER,Billable,BANK,"ETL Testing,AWS - Build , Administration and integration,SAS Programming - Base & Advance,Banking Platform",Gurgaon
28/03/2017,CONSULTANT,Billable,BANK,Business Analytics,Bhubaneswar
05/05/2017,SENIOR CONSULTANT,Billable,BANK,Business Analytics,Noida
19/12/2016,SENIOR CONSULTANT,Billable,BANK,"REST API,Java & Thunderhead,Spring Security,J2EE",Bangalore
06/02/1997,SENIOR CONSULTANT,Bench,BANK,"REST API,Spring Security,Java & Thunderhead,J2EE",Noida
24/12/2009,SENIOR CONSULTANT,Billable,BANK,"REST API,Spring Security,Java & Thunderhead,J2EE",Pune
13/06/2013,SENIOR MANAGER,Billable,BANK,Performance Testing,Bhubaneswar
21/10/2013,CONSULTANT,Billable,INS,"Java (Multi Skilled),Java,Guidewire",Gurgaon
10/07/2014,SENIOR CONSULTANT,Billable,INS,Guidewire,Bangalore
27/04/2015,ASSOCIATE CONSULTANT,Billable,INS,Guidewire,Gurgaon
14/05/2015,CONSULTANT,Billable,BANK,Angular.js,Hartford
08/06/2015,SENIOR CONSULTANT,Billable,BANK,Java,Pune
10/04/2017,DIRECTOR,Billable,BANK,Splunk,Pune
15/04/2013,SENIOR MANAGER,Billable,BANK,"Development Architecture,KONY",Noida
04/08/2014,MANAGER,Billable,BANK,"Java,Spring,Hibernate",Hyderabad
05/01/2015,CONSULTANT,Billable,BANK,"Java,Spring,Hibernate",Bhubaneswar
27/04/2015,ASSOCIATE CONSULTANT,Billable,Insights & Data,Teradata,Hartford
20/10/2014,SENIOR CONSULTANT,Billable,BANK,Ab Initio,Pune
20/05/2013,ASSOCIATE CONSULTANT,Billable,BANK,Ab Initio,Chennai
01/08/2017,SENIOR CONSULTANT,Billable,BANK,Ab Initio,Gurgaon
03/09/2015,CONSULTANT,Billable,FS,Java,Hyderabad
05/03/2018,SENIOR MANAGER,Billable,FS,Informatica BI,Pune
21/08/2014,ASSOCIATE CONSULTANT,Billable,FS,Java,Gurgaon
31/08/2015,ASSOCIATE CONSULTANT,Billable,OTHER,Filenet,Pune
28/04/2014,PORTFOLIO MANAGER,Billable,OTHER,Temenos,Gurgaon
05/12/2016,SENIOR CONSULTANT,Billable,OTHER,Temenos,Noida
07/08/2017,CONSULTANT,Billable,OTHER,"(D) Capital Markets Sector,Financial Services",Noida
07/07/2014,ASSOCIATE CONSULTANT,Billable,OTHER,"(D) Capital Markets Sector,Financial Services",Pune
21/07/2014,MANAGER,Billable,OTHER,Temenos,Chennai
08/12/2014,CONSULTANT,Billable,OTHER,Temenos,Bhubaneswar
10/02/2018,MANAGER,Billable,OTHER,Temenos,Gurgaon
18/05/2015,MANAGER,Billable,OTHER,Ab Initio,Chennai
26/11/2014,CONSULTANT,Billable,OTHER,Ab Initio,Chennai
17/05/2010,SENIOR CONSULTANT,Billable,OTHER,Temenos,Bangalore
16/01/2006,MANAGER,Billable,OTHER,(D) Capital Markets Sector,Bangalore
30/03/2015,SENIOR CONSULTANT,Billable,OTHER,"AWS - Build , Administration and integration",Pune
16/12/2013,SENIOR CONSULTANT,Billable,OTHER,"AWS - Build , Administration and integration",Gurgaon
02/03/2015,ASSOCIATE CONSULTANT,Billable,OTHER,"AWS - Build , Administration and integration",Chennai
27/04/2015,CONSULTANT,Billable,OTHER,"Mulesoft ESB,Spring,Java (Multi Skilled),Java",Pune
21/07/2011,CONSULTANT,Billable,OTHER,"Mulesoft ESB,Spring,Java (Multi Skilled),Java",Chennai
28/06/2013,SENIOR MANAGER,Billable,OTHER,"Pivotal Cloud Foundry  - Build and Administration,AWS - Build , Administration and integration,Hibernate,Spring,Core Java",Chennai
15/09/2014,SENIOR CONSULTANT,Billable,OTHER,"Pivotal Cloud Foundry  - Build and Administration,AWS - Build , Administration and integration,Hibernate,Spring,Core Java",Hyderabad
27/11/2014,CONSULTANT,Billable,OTHER,"Vision Plus,Falcon",Noida
02/05/2016,CONSULTANT,Billable,OTHER,Adobe,Pune
17/02/2014,SENIOR CONSULTANT,Billable,OTHER,Adobe,Gurgaon
11/09/2014,SENIOR CONSULTANT,Billable,OTHER,Adobe,Noida
20/07/2015,CONSULTANT,Billable,OTHER,Adobe,Noida
06/10/2014,SENIOR CONSULTANT,Billable,OTHER,Adobe,Hyderabad
30/03/2015,ASSOCIATE CONSULTANT,Billable,OTHER,Adobe,Bhubaneswar
10/01/2013,CONSULTANT,Billable,OTHER,Adobe,Noida
04/06/2012,MANAGER,Billable,OTHER,Adobe,Pune
30/11/2009,PORTFOLIO MANAGER,Billable,OTHER,Adobe,Bhubaneswar
13/06/2013,SENIOR CONSULTANT,Billable,OTHER,Adobe,Bhubaneswar
19/09/2013,ASSOCIATE CONSULTANT,Billable,OTHER,Adobe,Chennai
31/10/2013,CONSULTANT,Billable,OTHER,Business Consulting,Chennai
09/07/2012,MANAGER,Billable,OTHER,Business Consulting,Bhubaneswar
01/06/2007,SENIOR MANAGER,Billable,OTHER,Adobe,Chennai
12/08/2015,MANAGER,Bench,OTHER,Banking,Bhubaneswar
11/07/2017,MANAGER,Bench,OTHER,"C#,jQuery,C,Angular.js,.Net with MVC",Gurgaon
22/07/2013,MANAGER,Billable,OTHER,"C#,jQuery,C,Angular.js,.Net with MVC",Noida
04/08/2014,CONSULTANT,Billable,OTHER,"C#,jQuery,C,Angular.js,.Net with MVC",Noida
24/03/2018,SENIOR CONSULTANT,Billable,OTHER,"C#,jQuery,C,Angular.js,.Net with MVC",Pune
20/08/2015,ASSOCIATE CONSULTANT,Billable,OTHER,Business Consulting,Gurgaon
27/08/2015,ASSOCIATE CONSULTANT,Billable,OTHER,Portal,Pune
08/04/2014,MANAGER,Billable,OTHER,"Java (Multi Skilled),Java,Pega",Noida
17/11/2014,SENIOR CONSULTANT,Billable,OTHER,Fundtech - Global PayPlus (GPP),Bangalore
15/09/2014,CONSULTANT,Billable,OTHER,Fundtech - Global PayPlus (GPP),Noida
27/06/2013,ASSOCIATE CONSULTANT,Billable,OTHER,"(T) Mobile Development Technologies,BPM",Bhubaneswar
04/11/2013,CONSULTANT,Billable,OTHER,Mulesoft ESB,Hartford
22/01/2015,ASSOCIATE CONSULTANT,Billable,OTHER,Mulesoft ESB,Noida
31/07/2014,CONSULTANT,Billable,OTHER,Mulesoft ESB,Pune
03/01/2013,SENIOR CONSULTANT,Billable,OTHER,Mulesoft ESB,Noida
29/08/2013,CONSULTANT,Billable,OTHER,Mulesoft ESB,Hyderabad
31/07/2014,ASSOCIATE CONSULTANT,Billable,OTHER,Mulesoft ESB,Chennai
27/04/2015,MANAGER,Billable,OTHER,Mulesoft ESB,Noida
02/12/2009,MANAGER,Billable,OTHER,Mulesoft ESB,Pune
03/05/2010,CONSULTANT,Billable,OTHER,Mulesoft ESB,Hyderabad
01/04/2013,SENIOR CONSULTANT,Billable,OTHER,Mulesoft ESB,Pune
18/12/2014,CONSULTANT,Billable,OTHER,BPM,Noida
13/09/2012,CONSULTANT,Billable,OTHER,BPM,Gurgaon
23/12/2013,ASSOCIATE CONSULTANT,Billable,OTHER,BPM,Hartford
12/04/2012,CONSULTANT,Billable,OTHER,BPM,Chennai
14/11/2013,ASSOCIATE CONSULTANT,Billable,OTHER,BPM,Hyderabad
28/08/2015,ASSOCIATE CONSULTANT,Billable,OTHER,BPM,Gurgaon
03/12/2012,SENIOR MANAGER,Billable,OTHER,BPM,Bhubaneswar
24/09/2012,CONSULTANT,Billable,OTHER,Pega,Hyderabad
06/01/2014,MANAGER,Billable,OTHER,Pega,Pune
12/01/2015,ASSOCIATE CONSULTANT,Billable,OTHER,Pega,Gurgaon
12/03/2015,SENIOR CONSULTANT,Billable,OTHER,Pega,Gurgaon
23/07/2012,SENIOR MANAGER,Billable,OTHER,Pega,Pune
17/02/2014,CONSULTANT,Billable,OTHER,Pega,Gurgaon
07/10/2013,ASSOCIATE CONSULTANT,Billable,OTHER,Pega,Hartford
19/03/2015,CONSULTANT,Billable,OTHER,BPM,Pune
03/08/2015,MANAGER,Bench,OTHER,BPM,Bhubaneswar
29/12/2014,CONSULTANT,Billable,OTHER,BPM,Pune
01/09/2010,CONSULTANT,Billable,OTHER,Mulesoft ESB,Noida
31/10/2016,CONSULTANT,Billable,OTHER,Mulesoft ESB,Gurgaon
10/06/2013,SENIOR CONSULTANT,Billable,OTHER,Mulesoft ESB,Hyderabad
08/07/2017,MANAGER,Billable,OTHER,Mulesoft ESB,Pune
19/03/2015,ASSOCIATE CONSULTANT,Billable,OTHER,Mulesoft ESB,Pune
29/05/2014,SENIOR CONSULTANT,Billable,OTHER,"XML,Java (Multi Skilled),Java,Thunderhead",Bangalore
13/08/2015,ASSOCIATE CONSULTANT,Billable,OTHER,NICE,Noida
11/07/2013,CONSULTANT,Billable,OTHER,"Compliance,AML,Regulatory Framework,Risk Management",Gurgaon
06/10/2014,CONSULTANT,Billable,OTHER,Business Consulting,Pune
19/12/2016,SENIOR CONSULTANT,Billable,OTHER,"(D) Capital Markets Sector,Financial Services",Pune
28/03/2011,SENIOR CONSULTANT,Billable,OTHER,"Financial Services,(D) Capital Markets Sector",Hartford
27/11/2017,SENIOR CONSULTANT,Billable,OTHER,"(D) Capital Markets Sector,Financial Services",Chennai
31/10/2013,ASSOCIATE CONSULTANT,Billable,OTHER,Ab Initio,Noida
23/09/2013,CONSULTANT,Billable,OTHER,Ab Initio,Hyderabad
03/09/2015,SENIOR CONSULTANT,Billable,OTHER,Ab Initio,Bhubaneswar
07/01/2017,MANAGER,Billable,OTHER,Temenos,Bhubaneswar
15/01/2015,ASSOCIATE CONSULTANT,Billable,OTHER,Temenos,Pune
20/03/2014,CONSULTANT,Billable,OTHER,Temenos,Pune
24/04/2017,CONSULTANT,Billable,OTHER,Temenos,Noida
16/03/2015,ASSOCIATE CONSULTANT,Billable,OTHER,Temenos,Chennai
27/05/2010,CONSULTANT,Billable,OTHER,Temenos,Bhubaneswar
03/08/2015,SENIOR CONSULTANT,Billable,OTHER,Temenos,Noida
07/03/2011,SENIOR CONSULTANT,Billable,OTHER,Angular.js,Noida
04/06/2015,SENIOR CONSULTANT,Billable,OTHER,Angular.js,Chennai
14/07/2014,PORTFOLIO MANAGER,Billable,OTHER,Angular.js,Pune
27/03/2014,ASSOCIATE CONSULTANT,Billable,OTHER,Angular.js,Gurgaon
13/10/2014,SENIOR CONSULTANT,Billable,OTHER,Angular.js,Noida
29/12/2014,ASSOCIATE CONSULTANT,Billable,OTHER,Angular.js,Pune
02/03/2015,ASSOCIATE CONSULTANT,Billable,OTHER,Angular.js,Hartford
08/02/2010,PORTFOLIO MANAGER,Bench,OTHER,Angular.js,Gurgaon
23/10/2017,MANAGER,Bench,OTHER,Angular.js,Chennai
29/01/2018,ASSOCIATE CONSULTANT,Billable,OTHER,Angular.js,Pune
12/02/2015,CONSULTANT,Billable,OTHER,Angular.js,Bhubaneswar
